,Item,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Year
0,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,Energy: mmBtu/ton,0.0,,,,,,2021
1,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Total energy,28.93855322102476,mmBtu/ton,,,,,2021
2,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Fossil fuels,28.50695462270174,mmBtu/ton,,,,,2021
3,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Coal,0.7343137002121228,mmBtu/ton,,,,,2021
4,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Natural gas,27.64821888739105,mmBtu/ton,,,,,2021
5,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Petroleum,0.12442203509857025,mmBtu/ton,,,,,2021
6,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,"Water consumption, gallons/ton",253.7026372897599,gallon/ton,,,,,2021
7,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,Total Emissions: grams/ton,0.0,,,,,,2021
8,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     VOC,372.5545090009182,g/ton,,,,,2021
9,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     CO,714.2367065280599,g/ton,,,,,2021
10,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     NOx,875.0754365938255,g/ton,,,,,2021
11,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     PM10,35.29695600474015,g/ton,,,,,2021
12,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     PM2.5,27.53186211402938,g/ton,,,,,2021
13,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     SOx,355.9913438960142,g/ton,,,,,2021
14,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     BC,2.073606533568987,g/ton,,,,,2021
15,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     OC,5.421154320256969,g/ton,,,,,2021
16,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     CH4,4806.837812011399,g/ton,,,,,2021
17,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     N2O,22.298910384305735,g/ton,,,,,2021
18,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     CO2,378810.26336719835,g/ton,,,,,2021
19,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,Urban emissions: grams/ton,0.0,,,,,,2021
20,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     VOC,91.66551637146156,g/ton,,,,,2021
21,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     CO,57.16922469964181,g/ton,,,,,2021
22,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     NOx,76.79739002824039,g/ton,,,,,2021
23,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     PM10,4.1011533706450285,g/ton,,,,,2021
24,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     PM2.5,3.439740840985174,g/ton,,,,,2021
25,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     SOx,29.830972959907854,g/ton,,,,,2021
26,Coproducts,Acetic Acid,Acetic Acid,Chemicals,primary product,,     BC,0.08777508529048983,g/ton,,,,,2021
