"This correspondence file maps biofuel pathway name, feedstock, and biofuel flow name to the fossil fuel its targetted to replace",,,
,,,
,,,
Case/Scenario,Biofuel Stream_LCA,Feedstock,Replaced Fuel
2013 Biochemical Design Case: Corn Stover-Derived Sugars to Diesel,Renewable Diesel Blendstock,Biomass,Diesel
2015 Biochemical Catalysis Design Report,Hydrocarbon Blendstock,Biomass,Diesel
2018 Biochemical Design Case: BDO Pathway,Renewable Diesel Blendstock,Blended herbaceous biomass,Diesel
2018 Biochemical Design Case: Organic Acids Pathway,Renewable Diesel Blendstock,Blended herbaceous biomass,Diesel
"2018, 2018 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Woody Biomass,Motor Gasoline
"2018, 2022 projection High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Woody Biomass,Motor Gasoline
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,Renewable Diesel,Blended woody biomass,Diesel
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,Renewable Gasoline,Blended woody biomass,Motor Gasoline
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Blended woody biomass,Motor Gasoline
"2020, 2022 projection High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Woody Biomass,Motor Gasoline
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",Renewable Diesel,Blended woody biomass,Diesel
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",Renewable Diesel,Blended woody biomass,Diesel
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",Renewable Diesel,Blended woody biomass,Diesel
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",Renewable Diesel,Blended woody biomass,Diesel
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,High Octane Gasoline (HOG),Blended woody biomass,Motor Gasoline
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",Fully upgraded Marine fuel,Manure to Biorefinery for HTL,HFO (0.5% sulfur)
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",Fully upgraded Marine fuel,Sludge to Biorefinery for HTL,HFO (0.5% sulfur)
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",Biocrude,Manure to Biorefinery for HTL,HFO (0.5% sulfur)
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",Biocrude,Sludge to Biorefinery for HTL,HFO (0.5% sulfur)
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",Marine fuel,"Clean Pine for CFP, 2020 SOT",HFO (0.5% sulfur)
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",Marine fuel,"Logging Residues for CFP, 2020 SOT",HFO (0.5% sulfur)
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",Marine fuel,"Clean Pine for CFP, 2020 SOT",HFO (0.5% sulfur)
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",Marine fuel,"Logging Residues for CFP, 2020 SOT",HFO (0.5% sulfur)
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",Partially upgraded Marine fuel,Manure to Biorefinery for HTL,HFO (0.5% sulfur)
"2022, Partially upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",Partially upgraded Marine fuel,Sludge to Biorefinery for HTL,HFO (0.5% sulfur)
"Baseline for Biopower with coal, w/o BECCS",Stationary Use: U.S. Mix,"Coal to Power Plants, industrial boiler",Stationary Use: U.S. Mix
"Baseline for Biopower with coal, w/o BECCS",Stationary Use: U.S. Mix,Poplar,Stationary Use: U.S. Mix
