,Parameter_B,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Credits,,,,Year
0,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,Energy: mmBtu/ton,0.0,,,,,,,,,,2022
1,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Total energy,28.93855322102476,mmBtu/ton,,,,,,,,,2022
2,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Fossil fuels,28.50695462270174,mmBtu/ton,,,,,,,,,2022
3,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Coal,0.7343137002121228,mmBtu/ton,,,,,,,,,2022
4,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Natural gas,27.64821888739105,mmBtu/ton,,,,,,,,,2022
5,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     Petroleum,0.12442203509857025,mmBtu/ton,,,,,,,,,2022
6,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,"Water consumption, gallons/ton",253.7026372897599,gallon/ton,,,,,,,,,2022
7,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,Total Emissions: grams/ton,0.0,,,,,,,,,,2022
8,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     VOC,372.5545090009182,g/ton,,,,,,,,,2022
9,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     CO,714.2367065280599,g/ton,,,,,,,,,2022
10,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     NOx,875.0754365938255,g/ton,,,,,,,,,2022
11,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     PM10,35.29695600474015,g/ton,,,,,,,,,2022
12,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     PM2.5,27.53186211402938,g/ton,,,,,,,,,2022
13,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     SOx,355.9913438960142,g/ton,,,,,,,,,2022
14,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     BC,2.073606533568987,g/ton,,,,,,,,,2022
15,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     OC,5.421154320256969,g/ton,,,,,,,,,2022
16,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     CH4,4806.837812011399,g/ton,,,,,,,,,2022
17,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     N2O,22.298910384305735,g/ton,,,,,,,,,2022
18,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     CO2,378810.26336719835,g/ton,,,,,,,,,2022
19,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,Urban emissions: grams/ton,0.0,,,,,,,,,,2022
20,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     VOC,91.66551637146156,g/ton,,,,,,,,,2022
21,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     CO,57.16922469964181,g/ton,,,,,,,,,2022
22,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     NOx,76.79739002824039,g/ton,,,,,,,,,2022
23,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     PM10,4.1011533706450285,g/ton,,,,,,,,,2022
24,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     PM2.5,3.439740840985174,g/ton,,,,,,,,,2022
25,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     SOx,29.830972959907854,g/ton,,,,,,,,,2022
26,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     BC,0.08777508529048983,g/ton,,,,,,,,,2022
27,Coproduct Credits,Acetic Acid,Acetic Acid,Chemicals,primary product,,     OC,0.5361910009284775,g/ton,,,,,,,,,2022
28,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Energy demand,,,,,,,,,,,2022
29,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Total energy,28144.0,Btu/lb,,15706.0,12438.0,,,,,,2022
30,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Fossil fuels,27817.0,Btu/lb,,15688.0,12129.0,,,,,,2022
31,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Coal,1264.0,Btu/lb,,127.0,1137.0,,,,,,2022
32,Coproduct Credits,Acetone,Acetone (Feed& Fuel),EtOH,displacement,,Natural gas,15061.0,Btu/lb,,9366.0,5695.0,,,,,,2022
