"This correspondence file maps biofuel pathway name, feedstock, and biofuel flow name to the GREET fuel pathway",,,
,,,
,,,
Case/Scenario,Biofuel Flow Name,Feedstock,GREET Pathway
2013 Biochemical Design Case: Corn Stover-Derived Sugars to Diesel,Renewable Diesel Blendstock,Biomass,"CIDI Vehicle: FTD100, Biomass"
2015 Biochemical Catalysis Design Report,Hydrocarbon Blendstock,Biomass,"CIDI Vehicle: FTD100, Biomass"
Corn stover ETJ,Jet Fuel,Corn Stover,"Passenger Aircraft, Single Aisle (SA): FT Jet from Biomass"
Corn stover ETJ,Renewable Diesel,Corn Stover,
Corn stover ETJ,Renewable Gasoline,Corn Stover,
Dry Mill (Corn) ETJ,Jet Fuel,Corn grain (Dry),"Passenger Aircraft, Single Aisle (SA): FT Jet from Biomass"
Dry Mill (Corn) ETJ,Renewable Diesel,Corn grain (Dry),
Dry Mill (Corn) ETJ,Renewable Gasoline,Corn grain (Dry),
2018 Biochemical Design Case: Organic Acids Pathway,Renewable Diesel Blendstock,Blended herbaceous biomass,"CIDI Vehicle: FTD100, Biomass"
2018 Biochemical Design Case: BDO Pathway,Renewable Diesel Blendstock,Blended herbaceous biomass,"CIDI Vehicle: FTD100, Biomass"
Biochemical 2019 SOT: BDO Pathway (Burn Lignin Case),Renewable Diesel Blendstock,Blend of 2-pass and 3-pass Corn Stover,"CIDI Vehicle: FTD100, Biomass"
Biochemical 2019 SOT: BDO Pathway (Convert Lignin - Base),Renewable Diesel Blendstock,Blend of 2-pass and 3-pass Corn Stover,"CIDI Vehicle: FTD100, Biomass"
Biochemical 2019 SOT: BDO Pathway (Convert Lignin - High),Renewable Diesel Blendstock,Blend of 2-pass and 3-pass Corn Stover,"CIDI Vehicle: FTD100, Biomass"
Biochemical 2019 SOT: Acids Pathway (Burn Lignin Case),Renewable Diesel Blendstock,Blend of 2-pass and 3-pass Corn Stover,"CIDI Vehicle: FTD100, Biomass"
"Biochemical 2019 SOT: Acids Pathway (Convert Lignin - ""Base"" Case)",Renewable Diesel Blendstock,Blend of 2-pass and 3-pass Corn Stover,"CIDI Vehicle: FTD100, Biomass"
Biochemical 2019 SOT: Acids Pathway (Convert Lignin - High),Renewable Diesel Blendstock,Blend of 2-pass and 3-pass Corn Stover,"CIDI Vehicle: FTD100, Biomass"
Thermochemical Research Pathway to High-Octane Gasoline Blendstock Through Methanol/Dimethyl Ether Intermediates,High-Octane Gasoline Blendstock,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"Pathway 1A: Syngas to molybdenum disulfide (MoS2)-catalyzed alcohols followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",FT-Naptha,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"Pathway 1A: Syngas to molybdenum disulfide (MoS2)-catalyzed alcohols followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",FT-Jet,Woody Biomass,"Passenger Aircraft, Single Aisle (SA): FT Jet from Biomass"
"Pathway 1A: Syngas to molybdenum disulfide (MoS2)-catalyzed alcohols followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",FT-Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"Pathway 1B: Syngas fermentation to ethanol followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",FT-Naptha,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"Pathway 1B: Syngas fermentation to ethanol followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",FT-Jet,Woody Biomass,"Passenger Aircraft, Single Aisle (SA): FT Jet from Biomass"
"Pathway 1B: Syngas fermentation to ethanol followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",FT-Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"Pathway 2A: Syngas to rhodium (Rh)-catalyzed mixed oxygenates followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",FT-Naptha,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"Pathway 2A: Syngas to rhodium (Rh)-catalyzed mixed oxygenates followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",FT-Jet,Woody Biomass,"Passenger Aircraft, Single Aisle (SA): FT Jet from Biomass"
"Pathway 2A: Syngas to rhodium (Rh)-catalyzed mixed oxygenates followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",FT-Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"Pathway 2B: Syngas fermentation to ethanol followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",FT-Naptha,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"Pathway 2B: Syngas fermentation to ethanol followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",FT-Jet,Woody Biomass,"Passenger Aircraft, Single Aisle (SA): FT Jet from Biomass"
