"This correspondence file maps biofuel pathway name, feedstock, and biofuel flow name to the fossil fuel its targetted to replace",,
,,
,,
Case/Scenario,Biofuel Stream_LCA,Replaced Fuel
Ex-Situ CFP 2019 SOT,Acetone,Acetone
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",Marine Biooil,HFO (0.5% sulfur)
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",Marine Biooil,HFO (0.5% sulfur)
"Pathway 1A: Syngas to molybdenum disulfide (MoS2)-catalyzed alcohols followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",Diesel Range,Diesel
"Pathway 1B: Syngas fermentation to ethanol followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",Diesel Range,Diesel
"Pathway 2A: Syngas to rhodium (Rh)-catalyzed mixed oxygenates followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",Diesel Range,Diesel
"Pathway 2B: Syngas fermentation to ethanol followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",Diesel Range,Diesel
Pathway FT: Syngas to liquid fuels via Fischer-Tropsch technology as a commercial benchmark for comparisons,Diesel Range,Diesel
"Baseline for Biopower with coal, w/o BECCS",Electricity,Stationary Use: U.S. Mix
"Baseline for Biopower, 100% coal, w/ CCS, 650 MWe",Electricity,Stationary Use: U.S. Mix
"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Stationary Use: U.S. Mix
"Biopower: 100% biomass, w/ BECCS, 130 MWe",Electricity,Stationary Use: U.S. Mix
"Biopower: 100% biomass, w/o BECCS, 130 MWe",Electricity,Stationary Use: U.S. Mix
"Biopower: 80% coal, w/ BECCS, 650 MWe",Electricity,Stationary Use: U.S. Mix
"Biopower: 80% coal, w/o BECCS, 650 MWe",Electricity,Stationary Use: U.S. Mix
"Biopower: cofiring with coal, at 49%, w/o BECCS",Electricity,Stationary Use: U.S. Mix
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",Fully upgraded Marine fuel,HFO (0.5% sulfur)
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",Fully upgraded Marine fuel,HFO (0.5% sulfur)
"2018, 2018 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Motor Gasoline
"2018, 2022 projection High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Motor Gasoline
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Motor Gasoline
"2020, 2022 projection High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Motor Gasoline
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,High Octane Gasoline (HOG),Motor Gasoline
Thermochemical Research Pathway to High-Octane Gasoline Blendstock Through Methanol/Dimethyl Ether Intermediates,High-Octane Gasoline Blendstock,Motor Gasoline
2015 Biochemical Catalysis Design Report,Hydrocarbon Blendstock,Diesel
Biomass to Hydrogen,Hydrogen,Hydrogen
