Case/Scenario,LCA_metric,Total LCA: Unit (numerator),Total LCA: Unit (denominator),Production Year,Total LCA
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2022,3.875843484118274
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2023,3.875843484118275
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2024,3.875843484118275
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2025,7.371215602016322
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2026,7.3712156020163215
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2027,7.3712156020163215
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2028,7.3712156020163215
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2029,7.3712156020163215
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2030,8.431595614071822
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2031,8.43159561407182
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2032,8.43159561407182
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2033,8.43159561407182
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2034,8.43159561407182
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2035,9.78215663991757
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2036,9.78215663991757
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2037,9.78215663991757
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2038,9.78215663991757
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2039,9.78215663991757
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2040,10.57540438255899
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2041,10.575404382558988
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2042,10.575404382558988
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2043,10.575404382558988
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2044,10.575404382558988
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2045,10.98170689244949
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2046,10.981706892449488
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2047,10.981706892449488
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2048,10.981706892449488
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2049,10.981706892449488
2020 SOT: Ex-Situ CFP of lignocellulosic biomass to hydrocarbon fuels,CO2e,g,MJ,2050,11.27289012952187
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2022,3.939634886738615
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2023,3.939634886738608
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2024,3.939634886738608
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2025,3.5320405467229588
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2026,3.532040546722963
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2027,3.532040546722963
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2028,3.532040546722963
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2029,3.532040546722963
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2030,3.329976623699835
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2031,3.329976623699844
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2032,3.329976623699844
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2033,3.329976623699844
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2034,3.329976623699844
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2035,3.3973399034141942
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2036,3.3973399034141982
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2037,3.3973399034141982
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2038,3.3973399034141982
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2039,3.3973399034141982
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2040,3.4675062299665282
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2041,3.467506229966529
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2042,3.467506229966529
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2043,3.467506229966529
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2044,3.467506229966529
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2045,3.467784716237246
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2046,3.4677847162372504
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2047,3.4677847162372504
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2048,3.4677847162372504
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2049,3.4677847162372504
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",CO2e,g,MJ,2050,3.4717153119348025
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2022,73.80981105159923
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2023,73.80981105159927
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2024,73.80981105159927
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2025,71.30890008148843
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2026,71.30890008148842
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2027,71.30890008148842
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2028,71.30890008148842
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2029,71.30890008148842
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2030,70.31660131881236
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2031,70.31660131881233
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2032,70.31660131881233
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2033,70.31660131881233
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2034,70.31660131881233
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2035,69.49534194766107
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2036,69.49534194766106
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2037,69.49534194766106
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2038,69.49534194766106
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2039,69.49534194766106
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2040,69.05558116107804
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2041,69.05558116107802
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2042,69.05558116107802
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2043,69.05558116107802
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2044,69.05558116107802
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2045,68.81999289692634
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2046,68.81999289692631
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2047,68.81999289692631
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2048,68.81999289692631
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2049,68.81999289692631
"2021 SOT: Biochemical design case, Acids pathway with burn lignin",CO2e,g,MJ,2050,68.5733410182091
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2022,83.09841587014851
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2023,83.09841587014853
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2024,83.09841587014853
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2025,70.6901718024213
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2026,70.6901718024213
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2027,70.6901718024213
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2028,70.6901718024213
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2029,70.6901718024213
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2030,66.59919785189626
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2031,66.59919785189624
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2032,66.59919785189624
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2033,66.59919785189624
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2034,66.59919785189624
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2035,62.24433731119171
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2036,62.24433731119171
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2037,62.24433731119171
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2038,62.24433731119171
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2039,62.24433731119171
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2040,59.7641882785938
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2041,59.764188278593785
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2042,59.764188278593785
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2043,59.764188278593785
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2044,59.764188278593785
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2045,58.43552500368076
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2046,58.435525003680766
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2047,58.435525003680766
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2048,58.435525003680766
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2049,58.435525003680766
"2021 SOT: Biochemical design case, Acids pathway with convert lignin to BKA",CO2e,g,MJ,2050,57.388058768586546
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2022,93.1678983821284
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2023,93.16789838212843
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2024,93.16789838212843
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2025,87.73870156896335
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2026,87.73870156896335
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2027,87.73870156896335
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2028,87.73870156896335
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2029,87.73870156896335
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2030,85.83218979753346
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2031,85.83218979753345
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2032,85.83218979753345
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2033,85.83218979753345
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2034,85.83218979753345
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2035,83.93426054823955
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2036,83.93426054823954
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2037,83.93426054823954
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2038,83.93426054823954
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2039,83.93426054823954
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2040,82.89021946169642
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2041,82.8902194616964
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2042,82.8902194616964
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2043,82.8902194616964
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2044,82.8902194616964
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2045,82.33090668290878
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2046,82.33090668290875
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2047,82.33090668290875
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2048,82.33090668290875
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2049,82.33090668290875
"2021 SOT: Biochemical design case, BDO pathway with burn lignin",CO2e,g,MJ,2050,81.81630382667093
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2022,126.14644600605028
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2023,126.14644600605028
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2024,126.14644600605028
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2025,117.27294080810528
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2026,117.27294080810528
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2027,117.27294080810528
