,Case/Scenario,Biofuel Stream_LCA,Energy_alloc_primary_fuel,Production Year,MFSP replacing fuel: Unit (numerator),MFSP replacing fuel: Unit (denominator),Adjusted Cost Year,variability_id,col_param,col_val,param_name,param_min,param_max,param_dist,dist_option,param_value,MFSP replacing fuel,Metric_replacing fuel,Total LCA: Unit (numerator),Total LCA: Unit (denominator),Total LCA,Replaced Fuel,Parameter_B,Stream_Flow,Stream_LCA,CI replaced fuel: Unit (Numerator),CI replaced fuel: Unit (Denominator),CI replaced fuel,Metric_replaced fuel,Fuel_mapping_for_price,Source,Year,Cost_replaced fuel,Year_Cost_replaced fuel,Cost replaced fuel: Unit (Numerator),Cost replaced fuel: Unit (Denominator),cpi_start,Adjusted Cost_replaced fuel,Adjusted Cost replaced fuel: Unit (Denominator),Adjusted Cost replaced fuel: Unit (Numerator),MAC_calculated,MAC_calculated: Unit (numerator),MAC_calculated: Unit (denominator),CI of replaced fuel higher,Cost of replaced fuel higher,Percent CI reduciton,Percent MFSP increase
0,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2022,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,236.1170040050845,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,129.58457268199234,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2022,0.12201482,2022,$,kWh,292.655,0.029973459058751394,mj,USD,-35332.414089808764,USD,MT,False,False,-82.21073629229662,12557.936573565446
1,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2023,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,236.1170040050845,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,129.58457268199234,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2023,0.11895663,2022,$,kWh,292.655,0.029222201688877122,mj,USD,-35339.46600217521,USD,MT,False,False,-82.21073629229662,12883.352441936231
2,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2024,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,236.1170040050845,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,129.58457268199234,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2024,0.11456648,2022,$,kWh,292.655,0.028143742684579306,mj,USD,-35349.58929506267,USD,MT,False,False,-82.21073629229662,13380.870256247767
3,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2025,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,235.98091878589898,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,107.63343875710419,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2025,0.11022049,2022,$,kWh,292.655,0.027076131771948012,mj,USD,-29349.58523488965,USD,MT,False,False,-119.24498697698944,13912.420490917835
4,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2026,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,235.98091878589898,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,107.63343875710419,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2026,0.1075986,2022,$,kWh,292.655,0.0264320533512156,mj,USD,-29354.603474597887,USD,MT,False,False,-119.24498697698944,14253.865687797093
5,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2027,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,235.98091878589898,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,107.63343875710419,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2027,0.10573382,2022,$,kWh,292.655,0.025973962219469647,mj,USD,-29358.17262244281,USD,MT,False,False,-119.24498697698944,14507.018384420468
6,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2028,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,235.98091878589898,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,107.63343875710419,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2028,0.10440492,2022,$,kWh,292.655,0.02564751228705017,mj,USD,-29360.716107771434,USD,MT,False,False,-119.24498697698944,14692.941296205243
7,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2029,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,235.98091878589898,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,107.63343875710419,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2029,0.10386435,2022,$,kWh,292.655,0.025514718969292628,mj,USD,-29361.750746844424,USD,MT,False,False,-119.24498697698944,14769.932297222334
8,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2030,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,235.91894218873648,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,100.69100475603416,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2030,0.10399875,2022,$,kWh,292.655,0.025547734900451615,mj,USD,-27867.567702386415,USD,MT,False,False,-134.2999186077726,14750.715538359878
9,"Baseline for Biopower, 100% coal, w/o CCS, 650 MWe",Electricity,Y,2031,USD,mj,2020,200,Cost Item,Unit Cost,Natural Gas,0.00066,0.0165,linear,0.0003168,0.016183200000000016,3.794021436560358,CO2e,g,mj,235.91894218873648,Stationary Use: U.S. Mix,Replaced Fuel,Electricity,Stationary Use: U.S. Mix,g,mj,100.69100475603416,CO2e,"Stationary Use: U.S. Mix: Generation,T&D",,2031,0.10434769,2022,$,kWh,292.655,0.025633453494340135,mj,USD,-27866.933820102055,USD,MT,False,False,-134.2999186077726,14701.054557077445
